"","ID_mps","names_mps","factions","region_name","weight_name"
"1",0,"Алєксєєв Сергій Олегович","ЄС","",5
"2",1,"Андрійович Зіновій Мирославович","Слуга Народу","Івано-Франківська область",2
"3",2,"Арістов Юрій Юрійович","Слуга Народу","",1
"4",3,"Арсенюк Олег Олексійович","Слуга Народу","Черкаська область",1
"5",4,"Бакумов Олександр Сергійович","Слуга Народу","Харківська область",1
"6",5,"Батенко Тарас Іванович","За майбутнє","Львівська область",4
"7",6,"Безгін Віталій Юрійович","Слуга Народу","",1
"8",7,"Безугла Мар'яна Володимирівна","Слуга Народу","м. Київ",5
"9",8,"Бєлькова Ольга Валентинівна","Позафракційні","",2
"10",9,"Богданець Андрій Володимирович","Слуга Народу","Тернопільська область",1
"11",10,"Бондар Віктор Васильович","За майбутнє","Хмельницька область",4
"12",11,"Бондар Ганна Вячеславівна","Слуга Народу","м. Київ",7
"13",12,"Бондаренко Олег Володимирович","Слуга Народу","",2
"14",13,"Борт Віталій Петрович","ОПЗЖ","",1
"15",14,"Бужанський Максим Аркадійович","Слуга Народу","Дніпропетровська область",2
"16",15,"Буймістер Людмила Анатоліївна","Слуга Народу","м. Київ",5
"17",16,"Василевська-Смаглюк Ольга Михайлівна","Слуга Народу","Київська область",1
"18",17,"Васильченко Галина Іванівна","ГОЛОС","Львівська область",1
"19",18,"Вельможний Сергій Анатолійович","ДОВІРА","Луганська область",2
"20",19,"Веніславський Федір Володимирович","Слуга Народу","",1
"21",20,"Власенко Сергій Володимирович","Батьківщина","",1
"22",21,"Геращенко Ірина Володимирівна","ЄС","",3
"23",22,"Герус Андрій Михайлович","Слуга Народу","",10
"24",23,"Гетманцев Данило Олександрович","Слуга Народу","",11
"25",24,"Гончаренко Олексій Олексійович","ЄС","Одеська область",7
"26",25,"Горват Роберт Іванович","ДОВІРА","Закарпатська область",2
"27",26,"Горобець Олександр Сергійович","Слуга Народу","Київська область",1
"28",27,"Грищук Роман Павлович","Слуга Народу","м. Київ",5
"29",28,"Гурін Дмитро Олександрович","Слуга Народу","м. Київ",5
"30",29,"Діденко Юлія Олександрівна","Слуга Народу","",6
"31",30,"Дмитрієва Оксана Олександрівна","Слуга Народу","",1
"32",31,"Довгий Олесь Станіславович","Позафракційні","Кіровоградська область",1
"33",32,"Дубіль Валерій Олександрович","Батьківщина","",1
"34",33,"Дубінський Олександр Анатолійович","Слуга Народу","Київська область",1
"35",34,"Дубнов Артем Васильович","Слуга Народу","м. Київ",7
"36",35,"Дунаєв Сергій Володимирович","ОПЗЖ","",1
"37",36,"Дунда Олег Андрійович","Слуга Народу","Київська область",4
"38",37,"Железняк Ярослав Іванович","ГОЛОС","",3
"39",38,"Жупанин Андрій Вікторович","Слуга Народу","",4
"40",39,"Заблоцький Мар'ян Богданович","Слуга Народу","",16
"41",40,"Забродський Михайло Віталійович","ЄС","",3
"42",41,"Забуранна Леся Валентинівна","Слуга Народу","м. Київ",2
"43",42,"Загоруйко Аліна Леонідівна","Слуга Народу","",1
"44",43,"Задорожний Андрій Вікторович","Слуга Народу","",1
"45",44,"Заремський Максим Валентинович","Слуга Народу","Чернівецька область",1
"46",45,"Захарченко Володимир Васильович","Слуга Народу","Дніпропетровська область",2
"47",46,"Зінкевич Яна Вадимівна","ЄС","",2
"48",47,"Івченко Вадим Євгенович","Батьківщина","",5
"49",48,"Іонова Марія Миколаївна","ЄС","",3
"50",49,"Іонушас Сергій Костянтинович","Слуга Народу","",1
"51",50,"Кабаченко Володимир Вікторович","Батьківщина","",1
"52",51,"Кальченко Сергій Віталійович","Слуга Народу","",42
"53",52,"Качура Олександр Анатолійович","Слуга Народу","",2
"54",53,"Кисилевський Дмитро Давидович","Слуга Народу","Дніпропетровська область",2
"55",54,"Кіссе Антон Іванович","За майбутнє","Одеська область",1
"56",55,"Клименко Юлія Леонідівна","ГОЛОС","",1
"57",56,"Княжицький Микола Леонідович","ЄС","Львівська область",6
"58",57,"Князевич Руслан Петрович","ЄС","",7
"59",58,"Ковальов Олексій Іванович","Слуга Народу","Херсонська область",1
"60",59,"Кондратюк Олена Костянтинівна","Позафракційні","",1
"61",60,"Корнієнко Олександр Сергійович","Слуга Народу","",10
"62",61,"Королевська Наталія Юріївна","ОПЗЖ","",14
"63",62,"Крулько Іван Іванович","Батьківщина","",3
"64",63,"Кубів Степан Іванович","ЄС","",3
"65",64,"Кузбит Юрій Михайлович","Слуга Народу","Кіровоградська область",2
"66",65,"Кузьміних Сергій Володимирович","Слуга Народу","Житомирська область",1
"67",66,"Кулініч Олег Іванович","ДОВІРА","Полтавська область",2
"68",67,"Кучеренко Олексій Юрійович","Батьківщина","",7
"69",68,"Лозинський Роман Михайлович","ГОЛОС","",3
"70",69,"Лопушанський Андрій Ярославович","ЄС","Львівська область",1
"71",70,"Лубінець Дмитро Валерійович","За майбутнє","Донецька область",4
"72",71,"Луценко Ірина Степанівна","Позафракційні","",3
"73",72,"Ляшенко Анастасія Олексіївна","Слуга Народу","Полтавська область",2
"74",73,"Макаров Олег Анатолійович","ГОЛОС","",2
"75",74,"Мамка Григорій Миколайович","ОПЗЖ","",12
"76",75,"Марусяк Олег Романович","Слуга Народу","",49
"77",76,"Матусевич Олександр Борисович","Слуга Народу","Івано-Франківська область",2
"78",77,"Медяник В'ячеслав Анатолійович","Слуга Народу","Дніпропетровська область",1
"79",78,"Михайлюк Галина Олегівна","Слуга Народу","",2
"80",79,"Монастирський Денис Анатолійович","Слуга Народу","",4
"81",80,"Нагаєвський Артем Сергійович","Слуга Народу","",3
"82",81,"Наталуха Дмитро Андрійович","Слуга Народу","",3
"83",82,"Неклюдов Владлен Михайлович","Слуга Народу","",2
"84",83,"Нікітіна Марина Вікторівна","Слуга Народу","Запорізька область",7
"85",84,"Остапенко Анатолій Дмитрович","Слуга Народу","",1
"86",85,"Павлюк Максим Васильович","Слуга Народу","",8
"87",86,"Перебийніс Максим Вікторович","Слуга Народу","м. Київ",6
"88",87,"Підласа Роксолана Андріївна","Слуга Народу","",7
"89",88,"Піпа Наталія Романівна","ГОЛОС","Львівська область",1
"90",89,"Поляков Антон Едуардович","За майбутнє","Чернігівська область",4
"91",90,"Приходько Борис Вікторович","ДОВІРА","Чернігівська область",2
"92",91,"Прощук Едуард Петрович","Слуга Народу","Івано-Франківська область",1
"93",92,"Пуртова Анна Анатоліївна","Слуга Народу","м. Київ",7
"94",93,"Радуцький Михайло Борисович","Слуга Народу","",1
"95",94,"Рубльов Вячеслав Володимирович","Слуга Народу","Волинська область",1
"96",95,"Рущишин Ярослав Іванович","ГОЛОС","Львівська область",1
"97",96,"Саврасов Максим Віталійович","ЄС","",3
"98",97,"Саламаха Орест Ігорович","Слуга Народу","Львівська область",1
"99",98,"Синютка Олег Михайлович","ЄС","",3
"100",99,"Скороход Анна Костянтинівна","За майбутнє","Київська область",2
"101",100,"Совсун Інна Романівна","ГОЛОС","",1
"102",101,"Солод Юрій Васильович","ОПЗЖ","Донецька область",14
"103",102,"Стефанчук Руслан Олексійович","Позафракційні","",2
"104",103,"Струневич Вадим Олегович","Слуга Народу","",2
"105",104,"Сухов Олександр Сергійович","ДОВІРА","Луганська область",2
"106",105,"Тарасенко Тарас Петрович","Слуга Народу","",15
"107",106,"Тарасов Олег Сергійович","Слуга Народу","",3
"108",107,"Ткаченко Олександр Михайлович","Слуга Народу","Одеська область",2
"109",108,"Трухін Олександр Миколайович","Слуга Народу","Дніпропетровська область",1
"110",109,"Устенко Олексій Олегович","Слуга Народу","",1
"111",110,"Устінова Олександра Юріївна","ГОЛОС","",1
"112",111,"Федина Софія Романівна","ЄС","",3
"113",112,"Фріз Ірина Василівна","ЄС","",3
"114",113,"Фріс Ігор Павлович","Слуга Народу","Івано-Франківська область",3
"115",114,"Фролов Павло Валерійович","Слуга Народу","",16
"116",115,"Халімон Павло Віталійович","Слуга Народу","",7
"117",116,"Холодов Андрій Іванович","Слуга Народу","",2
"118",117,"Цабаль Володимир Володимирович","ГОЛОС","",1
"119",118,"Чайківський Іван Адамович","За майбутнє","Тернопільська область",3
"120",119,"Чернєв Єгор Володимирович","Слуга Народу","",1
"121",120,"Чернявський Степан Миколайович","Слуга Народу","Одеська область",3
"122",121,"Чорноморов Артем Олегович","Слуга Народу","Миколаївська область",7
"123",122,"Шахов Сергій Володимирович","ДОВІРА","Луганська область",2
"124",123,"Шинкаренко Іван Анатолійович","Слуга Народу","",2
"125",124,"Шипайло Остап Ігорович","Слуга Народу","",1
"126",125,"Яременко Богдан Васильович","Слуга Народу","м. Київ",5
"127",126,"Яцик Юлія Григорівна","Слуга Народу","Запорізька область",1
