"","ID_mps","names_mps","factions","region_name","weight_name"
"93",93,"Пуртова Анна Анатоліївна","Слуга Народу","м. Київ",7
"94",94,"Радуцький Михайло Борисович","Слуга Народу","",1
"95",95,"Рубльов Вячеслав Володимирович","Слуга Народу","Волинська область",1
"96",96,"Рущишин Ярослав Іванович","ГОЛОС","Львівська область",1
"97",97,"Саврасов Максим Віталійович","ЄС","",3
"98",98,"Саламаха Орест Ігорович","Слуга Народу","Львівська область",1
"99",99,"Синютка Олег Михайлович","ЄС","",3
"100",100,"Скороход Анна Костянтинівна","За майбутнє","Київська область",2
"101",101,"Совсун Інна Романівна","ГОЛОС","",1
"102",102,"Солод Юрій Васильович","ОПЗЖ","Донецька область",14
"103",103,"Стефанчук Руслан Олексійович","Позафракційні","",2
"104",104,"Струневич Вадим Олегович","Слуга Народу","",2
"105",105,"Сухов Олександр Сергійович","ДОВІРА","Луганська область",2
"106",106,"Тарасенко Тарас Петрович","Слуга Народу","",15
"107",107,"Тарасов Олег Сергійович","Слуга Народу","",3
"108",108,"Ткаченко Олександр Михайлович","Слуга Народу","Одеська область",2
"109",109,"Трухін Олександр Миколайович","Слуга Народу","Дніпропетровська область",1
"110",110,"Устенко Олексій Олегович","Слуга Народу","",1
"111",111,"Устінова Олександра Юріївна","ГОЛОС","",1
"112",112,"Федина Софія Романівна","ЄС","",3
"113",113,"Фріз Ірина Василівна","ЄС","",3
"114",114,"Фріс Ігор Павлович","Слуга Народу","Івано-Франківська область",3
"115",115,"Фролов Павло Валерійович","Слуга Народу","",16
"116",116,"Халімон Павло Віталійович","Слуга Народу","",7
"117",117,"Холодов Андрій Іванович","Слуга Народу","",2
"118",118,"Цабаль Володимир Володимирович","ГОЛОС","",1
"119",119,"Чайківський Іван Адамович","За майбутнє","Тернопільська область",3
"120",120,"Чернєв Єгор Володимирович","Слуга Народу","",1
"121",121,"Чернявський Степан Миколайович","Слуга Народу","Одеська область",3
"122",122,"Чорноморов Артем Олегович","Слуга Народу","Миколаївська область",7
"123",123,"Шахов Сергій Володимирович","ДОВІРА","Луганська область",2
"124",124,"Шинкаренко Іван Анатолійович","Слуга Народу","",2
"125",125,"Шипайло Остап Ігорович","Слуга Народу","",1
"126",126,"Яременко Богдан Васильович","Слуга Народу","м. Київ",5
"127",127,"Яцик Юлія Григорівна","Слуга Народу","Запорізька область",1
