"","Source","Target","Value"
"1",0,10,2
"2",0,24,5
"3",0,36,2
"4",0,46,2
"5",0,70,2
"6",0,73,1
"7",1,14,1
"8",1,16,1
"9",1,33,1
"10",1,76,1
"11",1,91,1
"12",1,94,1
"13",1,113,1
"14",2,13,1
"15",2,24,1
"16",2,35,1
"17",2,41,1
"18",2,54,1
"19",2,62,1
"20",2,64,1
"21",2,69,1
"22",2,92,1
"23",2,97,1
"24",2,108,1
"25",2,117,1
"26",4,77,1
"27",4,79,1
"28",4,82,1
"29",4,85,1
"30",4,126,1
"31",5,57,2
"32",5,60,1
"33",5,62,1
"34",5,68,2
"35",7,11,5
"36",7,15,5
"37",7,27,5
"38",7,28,5
"39",7,34,5
"40",7,86,5
"41",7,92,5
"42",7,125,5
"43",10,24,2
"44",10,70,4
"45",11,15,5
"46",11,27,5
"47",11,28,5
"48",11,34,5
"49",11,86,5
"50",11,92,5
"51",11,125,5
"52",13,24,1
"53",13,35,1
"54",13,41,1
"55",13,54,1
"56",13,62,1
"57",13,64,1
"58",13,69,1
"59",13,92,1
"60",13,97,1
"61",13,108,1
"62",13,117,1
"63",14,16,1
"64",14,33,1
"65",14,76,1
"66",14,91,1
"67",14,94,1
"68",14,113,1
"69",15,27,5
"70",15,28,5
"71",15,34,5
"72",15,86,5
"73",15,92,5
"74",15,125,5
"75",16,33,1
"76",16,76,1
"77",16,91,1
"78",16,94,1
"79",16,113,1
"80",17,55,1
"81",17,68,1
"82",17,95,1
"83",18,25,2
"84",18,66,2
"85",18,90,2
"86",18,104,2
"87",18,122,2
"88",21,40,3
"89",21,48,3
"90",21,56,3
"91",21,57,3
"92",21,63,3
"93",21,71,3
"94",21,96,3
"95",21,98,3
"96",21,111,3
"97",21,112,3
"98",22,26,1
"99",22,124,1
"100",24,35,1
"101",24,36,2
"102",24,41,1
"103",24,46,2
"104",24,54,1
"105",24,62,1
"106",24,64,1
"107",24,69,1
"108",24,70,2
"109",24,73,1
"110",24,92,1
"111",24,97,1
"112",24,108,1
"113",24,117,1
"114",25,66,2
"115",25,90,2
"116",25,104,2
"117",25,122,2
"118",26,124,1
"119",27,28,5
"120",27,34,5
"121",27,86,5
"122",27,92,5
"123",27,125,5
"124",28,34,5
"125",28,86,5
"126",28,92,5
"127",28,125,5
"128",30,31,1
"129",30,32,1
"130",30,34,1
"131",30,65,1
"132",30,86,1
"133",30,93,1
"134",31,32,1
"135",31,34,1
"136",31,65,1
"137",31,86,1
"138",31,93,1
"139",32,34,1
"140",32,65,1
"141",32,86,1
"142",32,93,1
"143",33,76,1
"144",33,91,1
"145",33,94,1
"146",33,113,1
"147",34,65,1
"148",34,86,6
"149",34,92,5
"150",34,93,1
"151",34,103,1
"152",34,125,5
"153",35,41,1
"154",35,54,1
"155",35,62,1
"156",35,64,1
"157",35,69,1
"158",35,92,1
"159",35,97,1
"160",35,108,1
"161",35,117,1
"162",36,46,2
"163",36,73,1
"164",36,74,2
"165",39,75,11
"166",39,105,15
"167",40,48,3
"168",40,56,3
"169",40,57,3
"170",40,63,3
"171",40,71,3
"172",40,96,3
"173",40,98,3
"174",40,111,3
"175",40,112,3
"176",41,43,1
"177",41,44,1
"178",41,54,1
"179",41,62,1
"180",41,64,2
"181",41,69,1
"182",41,92,2
"183",41,97,1
"184",41,108,1
"185",41,117,1
"186",42,60,1
"187",43,44,1
"188",43,64,1
"189",43,92,1
"190",44,64,1
"191",44,92,1
"192",45,78,2
"193",45,79,2
"194",45,85,2
"195",46,73,1
"196",47,80,3
"197",47,106,3
"198",47,118,3
"199",47,120,3
"200",48,56,3
"201",48,57,3
"202",48,63,3
"203",48,71,3
"204",48,96,3
"205",48,98,3
"206",48,111,3
"207",48,112,3
"208",49,85,1
"209",54,62,1
"210",54,64,1
"211",54,69,1
"212",54,92,1
"213",54,97,1
"214",54,108,1
"215",54,117,1
"216",55,68,1
"217",55,95,1
"218",56,57,3
"219",56,63,3
"220",56,71,3
"221",56,96,3
"222",56,98,3
"223",56,111,3
"224",56,112,3
"225",57,63,3
"226",57,68,2
"227",57,71,3
"228",57,96,3
"229",57,98,3
"230",57,111,3
"231",57,112,3
"232",60,62,1
"233",61,101,14
"234",62,64,1
"235",62,69,1
"236",62,92,1
"237",62,97,1
"238",62,108,1
"239",62,117,1
"240",63,71,3
"241",63,96,3
"242",63,98,3
"243",63,111,3
"244",63,112,3
"245",64,69,1
"246",64,92,2
"247",64,97,1
"248",64,108,1
"249",64,117,1
"250",65,86,1
"251",65,93,1
"252",66,90,2
"253",66,104,2
"254",66,122,2
"255",68,95,1
"256",69,92,1
"257",69,97,1
"258",69,108,1
"259",69,117,1
"260",71,96,3
"261",71,98,3
"262",71,111,3
"263",71,112,3
"264",75,105,11
